id,nom,groupe_musculaire,equipement,url
montees-sur-banc-lateral-avec-halteres,Montées sur banc latérales avec haltères,Quadriceps,Haltères,https://www.docteur-fitness.com/montees-sur-banc-lateral-avec-halteres
fentes-avant-avec-barre,Fentes avant avec barre,Quadriceps,Barre,https://www.docteur-fitness.com/fentes-avant-avec-barre
split-squat-a-la-smith-machine,Split squat à la Smith machine,Quadriceps,Smith machine|Machine,https://www.docteur-fitness.com/split-squat-a-la-smith-machine
thruster-avec-kettlebell,Thruster avec kettlebell,Quadriceps,Kettlebell,https://www.docteur-fitness.com/thruster-avec-kettlebell
squat-avec-sangles-de-suspension,Squat avec sangles de suspension,Quadriceps,Sangles de suspension / TRX,https://www.docteur-fitness.com/squat-avec-sangles-de-suspension
squat-pistolet-avec-sangle-de-suspension,Squat pistolet avec sangle de suspension,Quadriceps,Sangles de suspension / TRX,https://www.docteur-fitness.com/squat-pistolet-avec-sangle-de-suspension
split-squat-avec-sangles-de-suspension,Split squat avec sangles de suspension,Quadriceps,Sangles de suspension / TRX,https://www.docteur-fitness.com/split-squat-avec-sangles-de-suspension
souleve-de-terre-valise-a-un-bras,Soulevé de terre valise,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/souleve-de-terre-valise-a-un-bras
souleve-de-terre-sumo,Soulevé de terre sumo,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/souleve-de-terre-sumo
thruster-avec-landmine,Thruster avec landmine,Quadriceps,Landmine,https://www.docteur-fitness.com/thruster-avec-landmine
souleve-de-terre-a-la-trap-bar,Soulevé de terre à la trap bar,Quadriceps,Barre,https://www.docteur-fitness.com/souleve-de-terre-a-la-trap-bar
squat-avant-avec-double-kettlebell,Squat avant avec double kettlebell,Quadriceps,Kettlebell,https://www.docteur-fitness.com/squat-avant-avec-double-kettlebell
safety-bar-squat,Safety bar squat,Quadriceps,Barre,https://www.docteur-fitness.com/safety-bar-squat
goblet-squat,Goblet squat avec haltère,Quadriceps,Haltères,https://www.docteur-fitness.com/goblet-squat
fentes-avant-avec-halteres,Fentes avant avec haltères,Quadriceps,Haltères,https://www.docteur-fitness.com/fentes-avant-avec-halteres
presse-a-cuisses-horizontale,Presse à cuisses horizontale,Quadriceps,Machine,https://www.docteur-fitness.com/presse-a-cuisses-horizontale
squat-bulgare-avec-halteres,Squat bulgare avec haltères,Quadriceps,Haltères,https://www.docteur-fitness.com/squat-bulgare-avec-halteres
zercher-deadlift,Zercher deadlift,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/zercher-deadlift
thruster,Thruster,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/thruster
squat-a-la-smith-machine,Squat à la Smith machine,Quadriceps,Smith machine|Machine,https://www.docteur-fitness.com/squat-a-la-smith-machine
fentes-inversees-avec-landmine,Fentes inversées avec landmine,Quadriceps,Landmine,https://www.docteur-fitness.com/fentes-inversees-avec-landmine
squat-avec-landmine,Squat avec landmine,Quadriceps,Landmine,https://www.docteur-fitness.com/squat-avec-landmine
squat-cosaque,Squat cosaque,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/squat-cosaque
extension-de-jambe-unilaterale-sur-une-machine-a-dips-assistes,Extension de jambe unilatérale sur une machine à dips assistés,Quadriceps,Machine,https://www.docteur-fitness.com/extension-de-jambe-unilaterale-sur-une-machine-a-dips-assistes
